date,country,D,H,I,M,S
2021-05-12,Sweden,4,0,0,6,0
2021-05-12,Japan,14,0,0,110,0
2021-05-13,Afghanistan,0,0,0,39,1
2021-05-13,Sweden,4,0,0,6,0
2021-05-13,Japan,14,0,0,110,0
2021-05-14,Afghanistan,0,0,0,39,1
2021-05-14,Sweden,4,0,0,6,0
2021-05-14,Japan,14,0,0,110,0
2021-05-15,Afghanistan,0,0,0,40,0
2021-05-15,Sweden,4,0,0,6,0
2021-05-15,Japan,14,0,0,110,0
2021-05-16,Afghanistan,0,0,0,40,0
2021-05-16,Sweden,4,0,0,6,0
2021-05-16,Japan,14,0,0,110,0
2021-05-17,Afghanistan,0,0,0,40,0
2021-05-17,Sweden,4,0,0,6,0
2021-05-17,Japan,14,0,0,110,0
2021-05-18,Afghanistan,0,0,0,40,0
2021-05-18,Sweden,4,0,0,6,0
2021-05-18,Japan,14,0,0,110,0
2021-05-19,Afghanistan,0,0,0,40,0
2021-05-19,Sweden,4,0,0,6,0
2021-05-19,Japan,14,0,0,110,0
2021-05-20,Afghanistan,0,0,0,40,0
2021-05-20,Sweden,4,0,0,6,0
2021-05-20,Japan,14,0,0,110,0
2021-05-21,Afghanistan,0,0,0,40,0
2021-05-21,Sweden,4,0,0,6,0
2021-05-21,Japan,14,0,0,110,0
2021-05-22,Afghanistan,0,0,0,40,0
2021-05-22,Sweden,4,0,0,6,0
2021-05-22,Japan,14,0,0,110,0
2021-05-23,Afghanistan,0,0,0,40,0
2021-05-23,Sweden,4,0,0,6,0
2021-05-23,Japan,14,0,0,110,0
2021-05-24,Afghanistan,0,0,0,40,0
2021-05-24,Sweden,4,0,0,6,0
2021-05-24,Japan,14,0,0,110,0
2021-05-25,Afghanistan,0,0,0,40,0
2021-05-25,Sweden,4,0,0,6,0
2021-05-25,Japan,14,0,0,110,0
2021-05-26,Afghanistan,0,0,0,40,0
2021-05-26,Sweden,4,0,0,6,0
2021-05-26,Japan,14,0,0,110,0
2021-05-27,Afghanistan,0,0,0,40,0
2021-05-27,Sweden,4,0,0,6,0
2021-05-27,Japan,14,0,0,110,0
2021-05-28,Afghanistan,0,0,0,40,0
2021-05-28,Sweden,4,0,0,6,0
2021-05-28,Japan,14,0,0,110,0
2021-05-29,Afghanistan,0,0,0,40,0
2021-05-29,Sweden,4,0,0,6,0
2021-05-29,Japan,14,0,0,110,0
2021-05-30,Afghanistan,0,0,0,40,0
2021-05-30,Sweden,4,0,0,6,0
2021-05-30,Japan,14,0,0,110,0
2021-05-31,Afghanistan,0,0,0,40,0
2021-05-31,Sweden,4,0,0,6,0
2021-05-31,Japan,14,0,0,110,0
2021-06-01,Afghanistan,0,0,0,40,0
2021-06-01,Sweden,4,0,0,6,0
2021-06-01,Japan,14,0,0,110,0
2021-06-02,Afghanistan,0,0,0,40,0
2021-06-02,Sweden,4,0,0,6,0
2021-06-02,Japan,14,0,0,110,0
2021-06-03,Afghanistan,0,0,0,40,0
2021-06-03,Sweden,4,0,0,6,0
2021-06-03,Japan,14,0,0,110,0
2021-06-04,Afghanistan,0,0,0,40,0
2021-06-04,Sweden,4,0,0,6,0
2021-06-04,Japan,14,0,0,110,0
2021-06-05,Afghanistan,0,0,0,40,0
2021-06-05,Sweden,4,0,0,6,0
2021-06-05,Japan,14,0,0,110,0
2021-06-06,Afghanistan,0,0,0,40,0
2021-06-06,Sweden,4,0,0,6,0
2021-06-06,Japan,14,0,0,110,0
2021-06-07,Afghanistan,0,0,0,40,0
2021-06-07,Sweden,4,0,0,6,0
2021-06-07,Japan,14,0,0,110,0
2021-06-08,Afghanistan,0,0,0,40,0
2021-06-08,Sweden,4,0,0,6,0
2021-06-08,Japan,14,0,0,110,0
2021-06-09,Afghanistan,0,0,0,40,0
2021-06-09,Sweden,4,0,0,6,0
2021-06-09,Japan,14,0,0,110,0
2021-06-10,Afghanistan,0,0,0,40,0
2021-06-10,Sweden,4,0,0,6,0
2021-06-10,Japan,14,0,0,110,0
2021-06-11,Afghanistan,0,0,0,40,0
2021-06-11,Sweden,4,0,0,6,0
2021-06-11,Japan,14,0,0,110,0
